Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Utilities.csv_Open,S&P 500 Utilities.csv_High,S&P 500 Utilities.csv_Low,S&P 500 Utilities.csv_Close,S&P 500 Utilities.csv_Volume,S&P 500 Utilities.csv_Dividends,S&P 500 Utilities.csv_Stock Splits,S&P 500 Utilities.csv_Capital Gains
2020.11.18,2020.11.18,18466.1,17260.91,17681.54,80691.42,1441862086.0,17786.27,direct,1965843677.0,12720550169.0,14686393668.0,1744715875.0,9537799957.0,11282515655.0,5558972940.0,32596111943.0,38155084883.0,20555852274.0,58.9650301396844,59.03673268283266,57.49516219479947,57.51308441162109,12790700,0.0,0.0,0.0
2020.11.19,2020.11.19,18172.87,17365.08,17786.27,48224.86,859856045.6,17824.64,direct,1659332100.0,7580130470.0,9239462570.0,1699709544.0,6788068172.0,8487777715.0,4938312769.0,22711127806.0,27649440575.0,16421765256.0,57.45035234906856,57.49516815266292,56.53616876195521,56.939483642578125,13498100,0.0,0.0,0.0
2020.11.20,2020.11.20,18814.87,17764.07,17824.64,51122.68,939934212.3,18672.78,direct,1922952761.0,7604588061.0,9527540821.0,2060822112.0,6681626903.0,8742449015.0,6015012952.0,22542703198.0,28557716150.0,19173253265.0,56.84088674027991,57.34279427028079,56.6616372257474,56.94844055175781,9316100,0.0,0.0,0.0
2020.11.23,2020.11.23,18761.66,18010.51,18430.59,48994.17,902518528.8,18385.74,direct,3328027250.0,7404242334.0,10732269584.0,3500392644.0,6549242728.0,10049635372.0,9835582152.0,22018791090.0,31854373241.0,28218393303.0,57.17250930727781,57.280059706267934,56.69748849205416,56.95740509033203,8465300,0.0,0.0,0.0
2020.11.24,2020.11.24,19419.49,18117.78,18385.74,74142.3,1403472685.0,19157.16,direct,5607964911.0,10688927269.0,16296892180.0,5458408986.0,8966284791.0,14424693776.0,14864282399.0,28589654586.0,43453937176.0,40434005156.0,57.41450201111697,57.71026990863261,57.12770206101873,57.566871643066406,10903500,0.0,0.0,0.0
2020.11.25,2020.11.25,19488.81,18519.89,19157.16,59989.48,1141495120.0,18725.76,direct,3818929435.0,8094161073.0,11913090508.0,3789450220.0,7407142900.0,11196593119.0,10561350175.0,23211383042.0,33772733217.0,30268581748.0,57.495169120671655,57.73715668553328,56.99326151507033,57.719234466552734,11492600,0.0,0.0,0.0
2020.11.27,2020.11.27,17479.12,16462.87,17175.86,61052.47,1034426524.0,17155.0,direct,2322910859.0,7479190582.0,9802101441.0,2273559698.0,6940783651.0,9214343521.0,6690937545.0,21656279864.0,28347217409.0,22486247685.0,57.701299482111445,57.75507980939172,56.91259200728766,57.1456184387207,6036600,0.0,0.0,0.0
2020.11.30,2020.11.30,19850.23,18199.03,18199.23,77985.3,1493787961.0,19686.87,direct,2375472267.0,10082744064.0,12458216331.0,2529935646.0,9694175058.0,12224110703.0,7609932037.0,28574962425.0,36184894659.0,27159825323.0,56.98429890606155,57.02014676204515,56.09699865537644,56.32106399536133,13444700,0.0,0.0,0.0
2020.12.10,2020.12.10,18554.32,17920.56,18549.92,37500.96,684802762.1,18250.47,direct,1245596220.0,5241015941.0,6486612161.0,1254375426.0,4753209348.0,6007584957.0,4209676588.0,15017719535.0,19227395941.0,13089280885.0,55.95359642193759,56.132849375948325,55.43376319720304,55.69367980957031,10801400,0.0,0.0,0.0
2020.12.11,2020.12.11,18295.1,17598.13,18250.47,45166.17,809318887.8,18034.86,direct,1470994059.0,6447886089.0,7918880328.0,1446470256.0,5809972711.0,7256442967.0,4613396000.0,17883373488.0,22496769489.0,16034524766.0,55.46064770660791,55.855001430041696,55.40687080019928,55.783302307128906,6675700,0.0,0.0,0.0
2020.12.14,2020.12.14,19339.6,19001.22,19169.05,23827.71,456841099.9,19274.69,direct,1125925234.0,4883525086.0,6009450320.0,1082499550.0,4163232041.0,5245731783.0,3430200160.0,12702930090.0,16133130057.0,11390301535.0,56.177658611181535,56.643714897902605,55.44272461799672,55.49649810791016,13604400,0.0,0.0,0.0
