Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Real Estate.csv_Open,S&P 500 Real Estate.csv_High,S&P 500 Real Estate.csv_Low,S&P 500 Real Estate.csv_Close,S&P 500 Real Estate.csv_Volume,S&P 500 Real Estate.csv_Dividends,S&P 500 Real Estate.csv_Stock Splits,S&P 500 Real Estate.csv_Capital Gains
2018.11.27,2018.11.27,3878.9,3613.11,3784.77,147999.31,555212127.5,3822.99,direct,644220149.6,1322406686.0,1966626836.0,1340143945.0,2363545561.0,3703689506.0,2819243714.0,7302750887.0,10121994601.0,6656715888.0,27.48879782594825,27.663619821607725,27.35559966129892,27.6552963256836,3227200,0.0,0.0,0.0
2018.11.27,2018.11.27,3878.9,3613.11,3784.77,147999.31,555212127.5,3822.99,direct,644220149.6,1322406686.0,1966626836.0,1340143945.0,2363545561.0,3703689506.0,2819243714.0,7302750887.0,10121994601.0,6656715888.0,27.48879782594825,27.663619821607725,27.35559966129892,27.6552963256836,3227200,0.0,0.0,0.0
2018.11.27,2018.11.27,3878.9,3613.11,3784.77,147999.31,555212127.5,3822.99,direct,644220149.6,1322406686.0,1966626836.0,1340143945.0,2363545561.0,3703689506.0,2819243714.0,7302750887.0,10121994601.0,6656715888.0,27.48879782594825,27.663619821607725,27.35559966129892,27.6552963256836,3227200,0.0,0.0,0.0
2018.11.27,2018.11.27,3878.9,3613.11,3784.77,147999.31,555212127.5,3822.99,direct,644220149.6,1322406686.0,1966626836.0,1340143945.0,2363545561.0,3703689506.0,2819243714.0,7302750887.0,10121994601.0,6656715888.0,27.48879782594825,27.663619821607725,27.35559966129892,27.6552963256836,3227200,0.0,0.0,0.0
2018.11.28,2018.11.28,4398.57,3822.94,3822.99,175435.76,726808596.6,4263.55,direct,858781337.8,1848769973.0,2707551311.0,1801233608.0,3035414512.0,4836648120.0,3753591219.0,9341973467.0,13095564685.0,8409566802.0,27.65529722705152,27.91336689314254,27.53874922614655,27.880069732666016,3645700,0.0,0.0,0.0
2018.11.29,2018.11.29,4444.39,4130.68,4263.52,112103.36,479575430.6,4286.69,direct,739489218.7,1402253202.0,2141742421.0,1586274202.0,2473407098.0,4059681301.0,3328827019.0,8050947201.0,11379774220.0,7084628338.0,27.871738677231377,28.05072398638393,27.705240198255503,27.91336250305176,2600700,0.0,0.0,0.0
2018.11.30,2018.11.30,4331.07,3916.3,4286.85,121993.57,497762735.4,4009.67,direct,610034281.3,1305971973.0,1916006254.0,1381667205.0,2436669843.0,3818337048.0,2906745190.0,7824367591.0,10731112740.0,6718194226.0,27.996616397782148,28.20889888543272,27.859254899400227,28.17976188659668,4327200,0.0,0.0,0.0
2018.12.10,2018.12.10,3645.49,3416.77,3592.84,81855.33,287119758.1,3467.16,direct,367760933.1,783468147.0,1151229080.0,1075739646.0,1640727236.0,2716466882.0,2267177207.0,4227174127.0,6494351334.0,4563790983.0,28.27133969960209,28.296316541461472,27.734383647204165,28.16311836242676,9157900,0.0,0.0,0.0
2018.12.11,2018.12.11,3483.58,3348.98,3467.16,67519.71,230671778.4,3401.02,direct,376828968.8,708062401.0,1084891404.0,1090356435.0,1465450543.0,2555806978.0,2296685033.0,4508445882.0,6805130915.0,4534932652.0,28.296313123025666,28.42118461445668,28.19641211904721,28.21306228637696,4645200,0.0,0.0,0.0
2018.12.12,2018.12.12,3545.37,3380.48,3401.02,74415.95,257293632.7,3485.59,direct,350411521.4,707866374.5,1058277931.0,895324228.0,1442852800.0,2338177028.0,1896116658.0,4455084586.0,6351201244.0,34182843411.0,28.32129028683228,28.404537958076137,27.65945955037176,27.68027305603028,4298900,0.0,0.0,0.0
