공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/10/16,058970,엠로,KOSDAQ,직접,취득,2018/10/18,2019/01/17,80000,208000000,80000.0,100.0,196406250.0
2018/10/17,214180,헥토이노베이션,KOSDAQ,신탁,취득,2018/10/17,2019/04/16,0,2000000000,110000.0,0.0,1987634200.0
2018/10/17,001725,신영증권우,KOSPI,직접,취득,2018/10/18,2019/01/17,100000,5090000000,27841.0,27.84,1456731550.0
2018/10/17,001720,신영증권,KOSPI,직접,취득,2018/10/18,2019/01/17,100000,5550000000,48232.0,48.23,2789488900.0
2018/10/17,002840,미원상사,KOSPI,직접,취득,2018/10/19,2019/01/18,2000,502000000,2000.0,100.0,497163000.0
2018/10/18,049080,기가레인,KOSDAQ,신탁,처분,2018/10/18,2019/04/17,0,1500000000,603879.0,0.0,1564945060.0
2018/10/19,035080,그래디언트,KOSDAQ,신탁,취득,2018/10/22,2019/04/22,0,5000000000,2170000.0,0.0,4988488035.0
2018/10/19,036830,솔브레인홀딩스,KOSDAQ,신탁,취득,2018/10/19,2019/04/19,0,5000000000,95437.0,0.0,5001399800.0
2018/10/19,036580,팜스코,KOSPI,직접,취득,2018/10/22,2019/01/21,581395,4999997000,581395.0,100.0,4967399850.0
2018/10/19,219420,링크제니시스,KOSDAQ,신탁,처분,2018/10/19,2019/10/18,0,2000000000,290278.0,0.0,2638781380.0
2018/10/22,008500,일정실업,KOSPI,신탁,처분,2018/10/23,2019/10/23,0,500000000,114.0,0.0,2316300.0
2018/10/22,019685,대교우B,KOSPI,신탁,취득,2018/10/25,2020/04/24,0,11900000000,577498.0,0.0,1396348200.0
2018/10/22,019685,대교우B,KOSPI,신탁,취득,2018/10/25,2019/10/24,0,11900000000,37415.0,0.0,163235835.0
2018/10/22,019680,대교,KOSPI,신탁,취득,2018/10/25,2019/10/24,0,11900000000,329017.0,0.0,2000901540.0
2018/10/22,019680,대교,KOSPI,신탁,취득,2018/10/25,2020/04/24,0,11900000000,331493.0,0.0,1225502490.0
2018/10/23,122350,삼기,KOSDAQ,신탁,취득,2018/10/23,2019/04/22,0,1000000000,377860.0,0.0,974945460.0
2018/10/24,093190,빅솔론,KOSDAQ,직접,취득,2018/10/26,2019/01/24,848900,5000021000,798523.0,94.07,5010366780.0
2018/10/24,092070,디엔에프,KOSDAQ,직접,취득,2018/10/25,2019/01/24,300000,2421000000,300000.0,100.0,2391962210.0
2018/10/24,155650,와이엠씨,KOSDAQ,신탁,취득,2018/10/24,2019/04/23,0,4000000000,564013.0,0.0,3993609690.0
2018/10/24,101240,씨큐브,KOSDAQ,신탁,취득,2018/10/24,2019/10/23,0,1000000000,140952.0,0.0,996941050.0
2018/10/24,119850,지엔씨에너지,KOSDAQ,직접,취득,2018/10/29,2018/12/28,200000,799000000,200000.0,100.0,771904015.0
2018/10/25,029780,삼성카드,KOSPI,직접,취득,2018/10/26,2019/01/25,1400000,47250000000,1400000.0,100.0,47323537500.0
2018/10/25,002170,삼양통상,KOSPI,신탁,취득,2018/10/25,2020/02/04,0,5000000000,42700.0,0.0,2508546800.0
2018/10/25,085810,알티캐스트,KOSDAQ,직접,취득,2018/10/26,2019/01/25,1000000,2960000000,1000000.0,100.0,3102385120.0
2018/10/25,258830,세종메디칼,KOSDAQ,직접,취득,2018/10/26,2019/01/25,40000,536000000,40000.0,100.0,505263600.0
2018/10/25,002170,삼양통상,KOSPI,신탁,취득,2018/10/25,2019/07/25,0,5000000000,60000.0,0.0,2484321100.0
2018/10/25,145020,휴젤,KOSDAQ,직접,취득,2018/10/26,2019/01/24,100000,30160000000,100000.0,100.0,29535288600.0
2018/10/26,002700,신일전자,KOSPI,직접,취득,2018/10/29,2019/01/28,800000,992000000,800000.0,100.0,1013819900.0
2018/10/26,005360,모나미,KOSPI,직접,취득,2018/10/29,2019/01/28,350000,840000000,350000.0,100.0,904018815.0
2018/10/29,046110,한일네트웍스,KOSDAQ,직접,처분,2018/10/30,2018/11/05,329944,1491346880,329944.0,100.0,1407211160.0
2018/10/29,033160,엠케이전자,KOSDAQ,신탁,취득,2018/10/30,2019/04/30,0,3000000000,339862.0,0.0,2843413850.0
2018/10/29,018290,브이티,KOSDAQ,직접,취득,2018/10/30,2019/01/29,240000,2157600000,240000.0,100.0,2251988340.0
2018/10/29,059210,메타바이오메드,KOSDAQ,신탁,취득,2018/10/29,2019/10/28,0,500000000,164000.0,0.0,495798785.0
2018/10/29,042500,링네트,KOSDAQ,신탁,취득,2018/10/29,2019/10/28,0,2000000000,576909.0,0.0,1994311370.0
2018/10/29,171120,라이온켐텍,KOSDAQ,직접,취득,2018/10/30,2019/01/29,210085,2000009200,210085.0,100.0,2127712850.0
2018/10/29,000050,경방,KOSPI,직접,취득,2018/10/30,2019/01/29,240000,2640000000,240000.0,100.0,2674534700.0
2018/10/29,181710,NHN,KOSPI,직접,취득,2018/10/30,2019/01/29,230000,10465000000,149961.0,65.2,7165994700.0
2018/10/30,004270,남성,KOSPI,직접,취득,2018/10/31,2019/01/30,1000000,1020000000,603172.0,60.32,1021458065.0
2018/10/30,251270,넷마블,KOSPI,직접,취득,2018/10/31,2019/01/30,2178650,200000070000,1856378.0,85.21,208783501000.0
2018/10/30,084010,대한제강,KOSPI,신탁,취득,2018/10/30,2019/10/29,0,3000000000,24260.0,0.0,124940910.0
2018/10/30,001520,동양,KOSPI,신탁,취득,2018/11/01,2019/04/30,0,5000000000,2655068.0,0.0,4974609995.0
