,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2564,2020-06-06,9728.4,9536.15,9622.02,22979.04,221180782.78,9671.46,direct,,592633895.69,1447257487.75,2039891286.73,731605715.73,1863391687.32,2594997403.04,3938415422.93,7246370806.24,11184786229.16,5377396558.78
2565,2020-06-07,9806.21,9410.33,9671.46,39020.91,374577294.36,9750.7,direct,,726861836.21,2336279908.38,3063141744.58,896010836.87,2945260266.9,3841271103.77,4425506525.86,10338522802.13,14764029425.5,7175126602.81
2566,2020-06-08,9801.19,9658.72,9750.7,32766.08,318606275.83,9782.58,direct,,671607182.12,1816537258.43,2488144440.55,822736597.5,2312836693.92,3135573291.42,4080010955.85,8248064055.61,12328075109.28,5934190310.38
2567,2020-06-09,9884.83,9604.13,9782.58,38753.41,376816490.4,9779.7,direct,,757878731.67,2108711334.22,2866590065.89,903102289.03,2545181105.57,3448283394.59,4352826233.43,9201357489.91,13554183723.34,6265559518.83
2568,2020-06-10,9990.4,9708.63,9779.7,40206.35,395005942.58,9891.84,direct,,830409086.98,2484513174.53,3314922360.42,990726929.2,3015968501.15,4006695331.43,4639256539.55,10101565011.15,14740821550.69,7388173255.68
2569,2020-06-11,9970.77,9093.42,9891.84,86717.5,827582593.73,9268.13,direct,,969458168.53,3849393324.51,4818851493.04,1160263570.55,4767038012.27,5927301582.82,5099336433.12,15170772981.51,20270109414.63,10732990199.59
2570,2020-06-12,9548.13,9238.24,9268.13,40820.42,384322097.92,9464.23,direct,,774451221.3,2145017853.01,2919469074.3,1003474798.07,2709597029.43,3713071827.5,4605872961.02,9854378969.33,14460251930.35,7374586788.87
2571,2020-06-13,9492.0,9363.89,9464.23,16597.62,156509665.57,9474.65,direct,,682479694.24,1429488102.99,2111967891.97,909529543.61,1771790058.37,2681319696.73,4208311801.86,7238291133.61,11446602935.47,5162305972.66
2572,2020-06-14,9479.56,9251.02,9474.65,19334.41,181308843.48,9333.7,direct,,629270773.71,1400598128.0,2029868901.72,838440577.44,1764021138.11,2602461808.89,4009806988.61,7047666581.74,11057473570.35,5072693463.22
2573,2020-06-15,9498.69,8909.5,9333.7,66872.84,616170633.01,9429.65,direct,,871224128.5,3255443520.41,4126667648.92,1157679356.35,3901608777.92,5059288134.27,5040638926.88,13644447723.6,18685086650.47,9404904995.36
2574,2020-06-16,9585.17,9383.33,9429.65,39887.07,378768702.55,9526.7,direct,,709211942.42,2713967725.01,3423179762.69,951096379.69,2889638548.73,3840734928.43,4438882601.64,10826888487.48,15265771089.12,7036629635.8
2575,2020-06-17,9550.06,9243.06,9526.7,34516.51,325191529.46,9459.13,direct,,742714239.53,2278212731.42,3020926970.95,1094034462.58,2940018207.91,4034052670.49,4765215136.69,10024469660.69,14789684797.38,7704992231.38
