price_1month,price_3month,price_6month,종목코드,공시일
9900,12100,9240,065130,2019-11-27
36450,34000,26600,012320,2019-11-27
11800,9550,10050,068400,2019-11-28
6220,5910,8260,083930,2019-12-02
11871,16344,28185,060250,2019-12-04
116000,113000,108500,005380,2019-12-04
116000,113000,108500,005380,2019-12-04
13950,17000,16850,066310,2019-12-04
69800,64500,58400,005389,2019-12-04
78500,73400,65000,005387,2019-12-04
70900,64800,61100,005385,2019-12-04
58500,52750,49650,007700,2019-12-05
58500,52750,49650,007700,2019-12-05
4850,4350,4433,322180,2019-12-05
1915,2000,1825,001790,2019-12-05
20600,17200,17300,039440,2019-12-06
8576,7051,9011,092870,2019-12-09
9190,8090,8840,140670,2019-12-09
11600,10600,12650,067080,2019-12-09
15300,12150,14350,214180,2019-12-10
4390,4065,4060,144960,2019-12-10
1280,1030,1190,001520,2019-12-13
19856,24442,25600,200710,2019-12-13
52800,46150,43700,001725,2019-12-13
2795,2388,3375,122450,2019-12-17
6659,4546,5370,003690,2019-12-18
6090,3230,5640,158430,2019-12-18
4740,2110,3170,095570,2019-12-19
2980,1148,3557,075580,2019-12-19
34520,30949,44281,002320,2019-12-20
3739,1912,3197,114810,2019-12-23
3739,1912,3197,114810,2019-12-23
31950,18800,22300,018250,2019-12-23
17050,15050,28150,270870,2019-12-24
4065,2055,3480,002820,2019-12-24
11650,11550,16800,044820,2020-01-02
67636,77537,95769,192820,2020-01-02
13204,20972,30612,003000,2020-01-08
6872,6212,6245,069410,2020-01-08
28550,24500,23800,007340,2020-01-10
289413,162252,170773,086900,2020-01-10
3125,2615,3825,021050,2020-01-14
4050,4050,3800,043650,2020-01-15
28100,27050,26600,143240,2020-01-17
5681,3854,4977,290510,2020-01-20
5340,5180,6010,033290,2020-01-21
5340,5180,6010,033290,2020-01-21
4377,4041,4181,052670,2020-01-21
6030,6050,7290,065570,2020-01-23
175000,197500,292000,035420,2020-01-29
6690,6210,7100,039010,2020-01-30
4560,5790,5150,020710,2020-01-30
4560,5790,5150,020710,2020-01-30
3955,3470,3260,085620,2020-01-30
9624,7017,9649,190510,2020-01-30
41600,43400,46600,005830,2020-01-30
112170,95148,124961,096770,2020-01-31
3966,3429,2848,109610,2020-01-31
78200,74900,77900,004690,2020-02-03
12300,10750,14850,049070,2020-02-04
7460,6820,7370,088130,2020-02-04
7460,6820,7370,088130,2020-02-04
2110,2110,2110,069330,2020-02-05
9300,7150,7500,109740,2020-02-05
53100,49500,47100,267250,2020-02-06
